"","crude_price","crude_stock","gas_price","prediction_gas_price_3m","actual_gas_price_3m"
"Jan 2011",92.19,1820892.20254888,3.061,3.17386083333333,3.538
"Feb 2011",96.97,1810023.49274219,3.341,3.34125616666666,3.817
"Mar 2011",106.72,1805333.59420315,3.538,3.49691503333333,3.741
"Apr 2011",113.93,1790039.17529741,3.817,3.47757626666667,3.513
"May 2011",102.7,1787113.94242085,3.741,3.39984946666666,3.667
"Jun 2011",95.42,1776570.7959324,3.513,3.28544626666666,3.601
"Jul 2011",95.7,1782337.97809077,3.667,3.2252143,3.461
"Aug 2011",88.81,1770946.86759876,3.601,3.16810909999999,3.405
"Sep 2011",79.2,1745590.85586393,3.461,2.902227,3.248
"Oct 2011",93.19,1741077.12741939,3.405,3.29308123333333,3.213
"Nov 2011",100.36,1728800.56033722,3.248,3.37870246666666,3.386
"Dec 2011",98.83,1752492.50141902,3.213,3.29871903333333,3.641
"Jan 2012",98.48,1770323.29115395,3.386,3.29213156666666,3.843
"Feb 2012",107.07,1787404.63935695,3.641,3.4417751,3.764
"Mar 2012",103.02,1806477.83776316,3.843,3.4675823,3.575
"Apr 2012",104.87,1787885.22604077,3.764,3.4123576,3.378
"May 2012",86.53,1775596.63985199,3.575,3.1066292,3.45
"Jun 2012",84.96,1778954.60952707,3.378,3.1227964,3.722
"Jul 2012",88.06,1776311.78197469,3.45,3.14236983333333,3.775
"Aug 2012",96.47,1764648.24696749,3.722,3.2152614,3.48
"Sep 2012",92.19,1771102.61939593,3.775,3.2193734,3.382
"Oct 2012",86.24,1773235.77457907,3.48,3.0985127,3.245
"Nov 2012",88.91,1775574.37826731,3.382,3.20144856666666,3.296
"Dec 2012",91.82,1796985.86461952,3.245,3.31998049999999,3.722
"Jan 2013",97.49,1818088.2656281,3.296,3.3347679,3.616
"Feb 2013",92.05,1817291.58383176,3.722,3.21085366666666,3.455
"Mar 2013",97.23,1810046.32615372,3.616,3.2337187,3.601
"Apr 2013",93.46,1814881.99765939,3.455,3.28089403333333,3.498
"May 2013",91.97,1810202.52085881,3.601,3.2786789,3.57
"Jun 2013",96.56,1809989.7999955,3.498,3.2901906,3.504
"Jul 2013",105.03,1791987.18918482,3.57,3.51054793333333,3.354
"Aug 2013",107.65,1793754.56675346,3.504,3.5377841,3.235
"Sep 2013",102.33,1796094.80109993,3.354,3.52360876666666,3.241
"Oct 2013",96.38,1800959.39414085,3.235,3.33368399999999,3.264
"Nov 2013",92.72,1774550.25733871,3.241,3.31323563333333,3.241
"Dec 2013",98.42,1762117.6415288,3.264,3.29538149999999,3.394
"Jan 2014",97.49,1748263.76723216,3.241,3.33588663333333,3.521
"Feb 2014",102.59,1762374.62882685,3.394,3.51182986666666,3.635
"Mar 2014",101.58,1768867.84827846,3.521,3.49430156666666,3.607
"Apr 2014",99.74,1792897.94292858,3.635,3.25729406666666,3.635
"May 2014",102.71,1791663.69173035,3.607,3.46214113333333,3.468
"Jun 2014",105.37,1794317.51469441,3.635,3.412484,3.397
"Jul 2014",98.17,1794793.69452705,3.468,3.31403886666666,3.304
"Aug 2014",95.96,1791950.16642217,3.397,3.31680843333333,3.016
"Sep 2014",91.16,1799179.75658345,3.304,3.32150699999999,2.781
"Oct 2014",80.54,1802894.58901467,3.016,2.93241763333333,2.229
